filename	run	archive_idx	fitness
game_171_fit0.916_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	574	0.9163
game_172_fit0.909_seed_1.lud	main_experiment_seed_1_05_18_24	86	0.9091
game_173_fit0.894_seed_2.lud	main_experiment_seed_2_05_18_24	236	0.8937
game_174_fit0.885_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	685	0.8848
game_175_fit0.884_seed_3.lud	main_experiment_seed_3_05_18_24	298	0.8836
game_176_fit0.882_seed_1.lud	main_experiment_seed_1_05_18_24	7	0.8824
game_177_fit0.882_seed_1.lud	main_experiment_seed_1_05_18_24	22	0.8824
game_178_fit0.882_seed_2.lud	main_experiment_seed_2_05_18_24	107	0.8824
game_179_fit0.882_seed_2.lud	main_experiment_seed_2_05_18_24	250	0.8824
game_180_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	267	0.8824
game_181_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	312	0.8824
game_182_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	319	0.8824
game_183_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	333	0.8824
game_184_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	336	0.8824
game_185_fit0.882_seed_3.lud	main_experiment_seed_3_05_18_24	354	0.8824
game_186_fit0.882_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	448	0.8824
game_187_fit0.882_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	460	0.8824
game_188_fit0.882_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	613	0.8824
game_189_fit0.882_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	732	0.8824
game_190_fit0.880_seed_3.lud	main_experiment_seed_3_05_18_24	388	0.8805
game_191_fit0.880_seed_1.lud	main_experiment_seed_1_05_18_24	58	0.8804
game_192_fit0.880_seed_1.lud	main_experiment_seed_1_05_18_24	50	0.8802
game_193_fit0.880_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	629	0.8798
game_194_fit0.879_seed_2.lud	main_experiment_seed_2_05_18_24	214	0.8794
game_195_fit0.870_seed_2.lud	main_experiment_seed_2_05_18_24	235	0.8696
game_196_fit0.868_seed_3.lud	main_experiment_seed_3_05_18_24	376	0.8680
game_197_fit0.865_seed_3.lud	main_experiment_seed_3_05_18_24	307	0.8654
game_198_fit0.865_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	476	0.8654
game_199_fit0.852_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	606	0.8520
game_200_fit0.836_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	434	0.8360
game_201_fit0.825_seed_1.lud	main_experiment_seed_1_05_18_24	31	0.8246
game_202_fit0.803_seed_2.lud	main_experiment_seed_2_05_18_24	229	0.8027
game_203_fit0.794_seed_3.lud	main_experiment_seed_3_05_18_24	273	0.7935
game_204_fit0.783_seed_1.lud	main_experiment_seed_1_05_18_24	35	0.7833
game_205_fit0.769_seed_1.lud	main_experiment_seed_1_05_18_24	98	0.7692
game_206_fit0.769_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	472	0.7692
game_207_fit0.767_seed_3.lud	main_experiment_seed_3_05_18_24	305	0.7673
game_208_fit0.757_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	415	0.7571
game_209_fit0.756_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	654	0.7563
game_210_fit0.703_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	491	0.7029
game_211_fit0.673_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	704	0.6731
game_212_fit0.668_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	418	0.6676
game_213_fit0.662_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	451	0.6618
game_214_fit0.659_seed_1.lud	main_experiment_seed_1_05_18_24	91	0.6595
game_215_fit0.658_seed_2.lud	main_experiment_seed_2_05_18_24	239	0.6584
game_216_fit0.635_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	731	0.6348
game_217_fit0.616_seed_3.lud	main_experiment_seed_3_05_18_24	359	0.6163
game_218_fit0.606_seed_2.lud	main_experiment_seed_2_05_18_24	243	0.6061
game_219_fit0.602_seed_2.lud	main_experiment_seed_2_05_18_24	159	0.6021
game_220_fit0.575_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	477	0.5750
game_221_fit0.573_seed_3.lud	main_experiment_seed_3_05_18_24	315	0.5730
game_222_fit0.556_seed_1.lud	main_experiment_seed_1_05_18_24	26	0.5556
game_223_fit0.556_seed_1.lud	main_experiment_seed_1_05_18_24	72	0.5556
game_224_fit0.556_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	555	0.5556
game_225_fit0.555_seed_1.lud	main_experiment_seed_1_05_18_24	88	0.5545
game_226_fit0.554_seed_2.lud	main_experiment_seed_2_05_18_24	170	0.5543
game_227_fit0.525_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	616	0.5254
game_228_fit0.522_seed_1.lud	main_experiment_seed_1_05_18_24	93	0.5220
game_229_fit0.511_seed_3.lud	main_experiment_seed_3_05_18_24	347	0.5114
game_230_fit0.511_seed_1.lud	main_experiment_seed_1_05_18_24	42	0.5105
game_231_fit0.509_seed_2.lud	main_experiment_seed_2_05_18_24	192	0.5092
game_232_fit0.505_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	504	0.5054
game_233_fit0.495_seed_2.lud	main_experiment_seed_2_05_18_24	146	0.4953
game_234_fit0.492_seed_3.lud	main_experiment_seed_3_05_18_24	299	0.4918
game_235_fit0.470_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	652	0.4695
game_236_fit0.383_seed_1.lud	main_experiment_seed_1_05_18_24	70	0.3829
game_237_fit0.377_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	497	0.3774
game_238_fit0.048_seed_2.lud	main_experiment_seed_2_05_18_24	133	0.0481
game_239_fit0.048_seed_2.lud	main_experiment_seed_2_05_18_24	196	0.0481
game_240_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	351	0.0481
